,survival,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone,family_size
0,0,3,male,-0.6445007503426788,1,0,-0.7512650407623164,S,Third,man,True,Southampton,no,False,1
2,1,3,female,-0.24559910943801097,0,0,-0.7002649893973995,S,Third,woman,False,Southampton,yes,True,0
3,1,1,female,0.6519295825974918,1,0,2.712960670469438,S,First,woman,False,Southampton,yes,False,1
4,0,3,male,0.6519295825974918,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
5,0,3,male,0.12329691538978338,0,0,-0.6599711710375328,Q,Third,man,True,Queenstown,no,True,0
6,0,1,male,2.5467123768946642,0,0,2.619460576300424,S,First,man,True,Southampton,no,True,0
8,1,3,female,-0.145873699211844,0,2,-0.4578598563691588,S,Third,woman,False,Southampton,yes,False,2
9,1,2,female,-1.4423040321520146,1,0,0.9729749180354507,C,Second,child,False,Cherbourg,yes,False,1
10,1,3,female,-2.4395581344136845,1,1,-0.03726432165348151,S,Third,child,False,Southampton,yes,False,2
12,0,3,male,-0.8439515707950128,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
13,0,3,male,1.0508312235021597,1,5,1.063959009670462,S,Third,man,True,Southampton,no,False,6
14,0,3,female,-1.4423040321520146,0,0,-0.705614328118342,S,Third,child,False,Southampton,no,True,0
17,1,2,male,0.12329691538978338,0,0,-0.3168201587648771,S,Second,man,True,Southampton,yes,True,0
18,0,3,female,0.2530279416928239,1,0,0.06095799949376567,S,Third,woman,False,Southampton,no,False,1
19,1,3,female,0.12329691538978338,0,0,-0.7531539315536095,C,Third,woman,False,Cherbourg,yes,True,0
20,0,2,male,0.6519295825974918,0,0,0.6654030527075941,S,Second,man,True,Southampton,no,True,0
21,1,2,male,0.5522041723713248,0,0,-0.3168201587648771,S,Second,man,True,Southampton,yes,True,0
22,1,3,female,-1.3425786219258478,0,0,-0.6923920925792895,Q,Third,child,False,Queenstown,yes,True,0
23,1,1,male,-0.046148288985677036,0,0,1.3831815533990155,S,First,man,True,Southampton,yes,True,0
24,0,3,female,-2.0406564935090166,3,1,0.2932915668228309,S,Third,child,False,Southampton,no,False,4
25,1,3,female,0.9511058132759926,1,5,1.0724590182312816,S,Third,woman,False,Southampton,yes,False,6
26,0,3,male,0.12329691538978338,0,0,-0.7531539315536095,C,Third,man,True,Cherbourg,no,True,0
28,1,3,female,0.12329691538978338,0,0,-0.7037254373270486,Q,Third,woman,False,Queenstown,yes,True,0
29,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
30,0,1,male,1.1505566337283266,0,0,0.7954191836538886,C,First,man,True,Cherbourg,no,True,0
32,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True,0
35,0,1,male,1.3500074541806606,1,0,2.6298494756525366,S,First,man,True,Southampton,no,False,1
36,1,3,male,0.12329691538978338,0,0,-0.7528365979006724,C,Third,man,True,Cherbourg,yes,True,0
37,0,3,male,-0.7442261605688458,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
38,0,3,female,-1.0434023912473467,2,0,0.06095799949376567,S,Third,woman,False,Southampton,no,False,2
39,1,3,female,-1.4423040321520146,1,0,-0.44966962589811144,C,Third,child,False,Cherbourg,yes,False,1
40,0,3,female,1.1505566337283266,1,0,-0.5831537603372203,S,Third,woman,False,Southampton,no,False,1
41,0,2,female,-0.145873699211844,1,0,0.28762489444895134,S,Second,woman,False,Southampton,no,False,1
42,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,C,Third,man,True,Cherbourg,no,True,0
43,1,2,female,-2.539283544639851,1,2,1.8424993493362036,C,Second,child,False,Cherbourg,yes,False,3
44,1,3,female,-0.9436769810211798,0,0,-0.7037254373270486,Q,Third,woman,False,Queenstown,yes,True,0
45,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
46,0,3,male,0.12329691538978338,1,0,-0.12793107963555572,Q,Third,man,True,Queenstown,no,False,1
47,1,3,female,0.12329691538978338,0,0,-0.713487224936452,Q,Third,woman,False,Queenstown,yes,True,0
48,0,3,male,0.12329691538978338,2,0,0.3389422794668055,C,Third,man,True,Cherbourg,no,False,2
49,0,3,female,-1.0434023912473467,1,0,0.04584687316342002,S,Third,woman,False,Southampton,no,False,1
50,0,3,male,-2.1403819037351832,4,1,1.6995707609406288,S,Third,child,False,Southampton,no,False,5
51,0,3,male,-0.7442261605688458,0,0,-0.7097094433538655,S,Third,man,True,Southampton,no,True,0
53,1,2,female,0.05357712124048994,1,0,0.6654030527075941,S,Second,woman,False,Southampton,yes,False,1
55,1,1,male,0.12329691538978338,0,0,1.3831815533990155,S,First,man,True,Southampton,yes,True,0
56,1,2,female,-0.7442261605688458,0,0,-0.5057092378941985,S,Second,woman,False,Southampton,yes,True,0
57,0,3,male,0.0037144161274064503,0,0,-0.7528365979006724,C,Third,man,True,Cherbourg,no,True,0
58,1,2,female,-2.3398327241875174,1,2,0.7976254080981191,S,Second,child,False,Southampton,yes,False,3
59,0,3,male,-1.7414802628305155,5,2,2.244515754228721,S,Third,child,False,Southampton,no,False,7
60,0,3,male,-0.6445007503426788,0,0,-0.7528365979006724,C,Third,man,True,Cherbourg,no,True,0
63,0,3,male,-2.4395581344136845,3,2,0.8089587528458783,S,Third,child,False,Southampton,no,False,5
64,0,1,male,0.12329691538978338,0,0,0.7954191836538886,C,First,man,True,Cherbourg,no,True,0
65,1,3,male,0.12329691538978338,1,1,-0.1471373212014252,C,Third,man,True,Cherbourg,yes,False,2
66,1,2,female,0.05357712124048994,0,0,-0.5057092378941985,S,Second,woman,False,Southampton,yes,True,0
67,0,3,male,-0.9436769810211798,0,0,-0.6826378605330512,S,Third,man,True,Southampton,no,True,0
68,1,3,female,-1.1431278014735138,4,2,-0.7002649893973995,S,Third,woman,False,Southampton,yes,False,6
69,0,3,male,-0.24559910943801097,2,0,-0.6445427110542498,S,Third,man,True,Southampton,no,False,2
70,0,2,male,0.3527533519189909,0,0,-0.5057092378941985,S,Second,man,True,Southampton,no,True,0
71,0,3,female,-1.2428532116996807,5,2,2.244515754228721,S,Third,woman,False,Southampton,no,False,7
73,0,3,male,-0.24559910943801097,1,0,-0.20694715921693344,C,Third,man,True,Cherbourg,no,False,1
74,1,3,male,0.3527533519189909,0,0,2.9695324844323783,S,Third,man,True,Southampton,yes,True,0
75,0,3,male,-0.34532451966417793,0,0,-0.7210427881016249,S,Third,man,True,Southampton,no,True,0
76,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
77,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
79,1,3,female,0.1533025314666569,0,0,-0.3564868653820346,S,Third,woman,False,Southampton,yes,True,0
80,0,3,male,-0.6445007503426788,0,0,-0.6190426853717913,S,Third,man,True,Southampton,no,True,0
81,1,3,male,0.05357712124048994,0,0,-0.581264869545927,S,Third,man,True,Southampton,yes,True,0
82,1,3,female,0.12329691538978338,0,0,-0.7106538887495123,Q,Third,woman,False,Queenstown,yes,True,0
83,0,1,male,-0.046148288985677036,0,0,2.259626880559067,S,First,man,True,Southampton,no,True,0
84,1,2,female,-1.1431278014735138,0,0,-0.5057092378941985,S,Second,woman,False,Southampton,yes,True,0
85,1,3,female,0.4524787621451578,3,0,-0.10148660855745076,S,Third,woman,False,Southampton,yes,False,3
86,0,3,male,-1.2428532116996807,1,3,1.2981814677908208,S,Third,man,True,Southampton,no,False,4
87,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
89,0,3,male,-0.4450499298903449,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
90,0,3,male,0.05357712124048994,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
91,0,3,male,-0.8439515707950128,0,0,-0.705614328118342,S,Third,man,True,Southampton,no,True,0
92,0,1,male,1.7489090950853285,1,0,3.323072396057146,S,First,man,True,Southampton,no,False,1
93,0,3,male,-0.24559910943801097,1,2,0.25551375099696666,S,Third,man,True,Southampton,no,False,3
95,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
98,1,2,female,0.5522041723713248,0,1,0.4387361577524085,S,Second,woman,False,Southampton,yes,False,1
99,0,2,male,0.5522041723713248,1,0,0.6654030527075941,S,Second,man,True,Southampton,no,False,1
100,0,3,female,-0.046148288985677036,0,0,-0.7024712138416299,S,Third,woman,False,Southampton,no,True,0
101,0,3,male,0.12329691538978338,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
103,0,3,male,0.4524787621451578,0,0,-0.6451698227969591,S,Third,man,True,Southampton,no,True,0
104,0,3,male,0.8513804030498257,2,0,-0.7002649893973995,S,Third,man,True,Southampton,no,False,2
105,0,3,male,-0.046148288985677036,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
106,1,3,female,-0.7442261605688458,0,0,-0.7210427881016249,S,Third,woman,False,Southampton,yes,True,0
107,1,3,male,0.12329691538978338,0,0,-0.7115983341451588,S,Third,man,True,Southampton,yes,True,0
108,0,3,male,0.9511058132759926,0,0,-0.7024712138416299,S,Third,man,True,Southampton,no,True,0
109,1,3,female,0.12329691538978338,1,0,0.5256251341518962,Q,Third,woman,False,Queenstown,yes,False,1
110,0,1,male,1.8486345053114954,0,0,2.6298494756525366,S,First,man,True,Southampton,no,True,0
111,0,3,female,-1.392441327038931,1,0,-0.20694715921693344,C,Third,child,False,Cherbourg,no,False,1
112,0,3,male,-0.6445007503426788,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
113,0,3,female,-0.8439515707950128,1,0,-0.5567092892591153,S,Third,woman,False,Southampton,no,False,1
114,0,3,female,-1.1431278014735138,0,0,-0.2066373811271614,C,Third,woman,False,Cherbourg,no,True,0
115,0,3,male,-0.7442261605688458,0,0,-0.7002649893973995,S,Third,man,True,Southampton,no,True,0
117,0,2,male,0.05357712124048994,1,0,0.28762489444895134,S,Second,man,True,Southampton,no,False,1
121,0,3,male,0.12329691538978338,0,0,-0.6908205354409335,S,Third,man,True,Southampton,no,True,0
122,0,2,male,0.4026160570320743,1,0,0.9729749180354507,C,Second,man,True,Cherbourg,no,False,1
123,1,2,female,0.4026160570320743,0,0,-0.3168201587648771,S,Second,woman,False,Southampton,yes,True,0
125,1,3,male,-1.6417548526043486,1,0,-0.44966962589811144,C,Third,child,False,Cherbourg,yes,False,1
126,0,3,male,0.12329691538978338,0,0,-0.713487224936452,Q,Third,man,True,Queenstown,no,True,0
127,1,3,male,-0.4450499298903449,0,0,-0.7594477156701985,S,Third,man,True,Southampton,yes,True,0
128,1,3,female,0.12329691538978338,1,1,0.39025210892149426,C,Third,woman,False,Cherbourg,yes,False,2
129,0,3,male,1.6491836848591614,0,0,-0.7720428394665417,S,Third,man,True,Southampton,no,True,0
130,0,3,male,0.4524787621451578,0,0,-0.7024712138416299,C,Third,man,True,Cherbourg,no,True,0
131,0,3,male,-0.8439515707950128,0,0,-0.766376167092662,S,Third,man,True,Southampton,no,True,0
132,0,3,female,1.8486345053114954,1,0,-0.2034867112872843,S,Third,woman,False,Southampton,no,False,1
133,1,2,female,0.05357712124048994,1,0,0.6654030527075941,S,Second,woman,False,Southampton,yes,False,1
134,0,2,male,-0.34532451966417793,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True,0
135,0,2,male,-0.5447753401165119,0,0,-0.16224844753177084,C,Second,man,True,Cherbourg,no,True,0
136,1,1,female,-0.9436769810211798,0,2,0.6868079631545289,S,First,woman,False,Southampton,yes,False,2
137,0,1,male,0.8513804030498257,1,0,2.712960670469438,S,First,man,True,Southampton,no,False,1
138,0,3,male,-1.2428532116996807,0,0,-0.6026697799928619,S,Third,man,True,Southampton,no,True,0
140,0,3,female,0.12329691538978338,0,2,-0.1471373212014252,C,Third,woman,False,Cherbourg,no,False,2
141,1,3,female,-0.6445007503426788,0,0,-0.713487224936452,S,Third,woman,False,Southampton,yes,True,0
142,1,3,female,-0.4450499298903449,1,0,-0.10148660855745076,S,Third,woman,False,Southampton,yes,False,1
143,0,3,male,-0.9436769810211798,0,0,-0.7890428565881806,Q,Third,man,True,Queenstown,no,True,0
144,0,2,male,-1.0434023912473467,0,0,-0.43015360624246995,S,Second,man,True,Southampton,no,True,0
145,0,2,male,-0.9436769810211798,1,1,1.4776260929636762,S,Second,man,True,Southampton,no,False,2
146,1,3,male,-0.145873699211844,0,0,-0.710026777006803,S,Third,man,True,Southampton,yes,True,0
147,0,3,female,-1.9409310832828495,2,2,1.2981814677908208,S,Third,child,False,Southampton,no,False,4
148,0,2,male,0.8015176979367422,0,2,0.6654030527075941,S,Second,man,True,Southampton,no,False,2
149,0,2,male,1.3500074541806606,0,0,-0.3168201587648771,S,Second,man,True,Southampton,no,True,0
150,0,2,male,2.2475361462161634,0,0,-0.35270908379944815,S,Second,man,True,Southampton,no,True,0
153,0,3,male,1.2004193388414102,0,2,-0.2034867112872843,S,Third,man,True,Southampton,no,False,2
154,0,3,male,0.12329691538978338,0,0,-0.7465428137840833,S,Third,man,True,Southampton,no,True,0
155,0,1,male,2.2475361462161634,0,1,3.338500856040429,C,First,man,True,Cherbourg,no,False,1
